dim1,dim2,Test_file1_exp1,Test_file1_unc1,Test_file2_exp1,Test_file2_unc1,Test_file3_exp1,Test_file3_unc1,Test_file3_exp2,Test_file3_unc2
1.23,-0.81,0.4536974056200412,0.13941769733674567,inf,inf,0.41816868937166873,0.1488304636963446,inf,inf
1.23,-0.8,0.45629851463333515,0.1373754556277093,inf,inf,0.42075577641712414,0.14599070183380203,inf,inf
1.23,-0.79,0.4588618192344007,0.135373414288648,inf,inf,0.4233243494602421,0.14322149049289068,inf,inf
1.23,-0.78,0.46138674878275476,0.13341192414606895,inf,inf,0.4258735186139493,0.14052348371974224,inf,inf
1.23,-0.77,0.46387273735443574,0.13149132174745937,inf,inf,0.4284023886231014,0.13789730166833894,inf,inf
1.23,-0.76,0.46631922388980157,0.1296119280022528,inf,inf,0.43091005923133263,0.1353435269268717,inf,inf
1.23,-0.75,0.4687256523407747,0.12777404676052645,inf,inf,0.433395625555006,0.13286270056181448,inf,inf
1.23,-0.74,0.47109147181765687,0.12597796333291703,inf,inf,0.43585817846410313,0.1304553178892993,inf,inf
1.23,-0.73,0.47341613673452543,0.12422394295779042,inf,inf,0.43829680496986834,0.12812182398999522,inf,inf
1.23,-0.72,0.47569910695491235,0.12251222922165826,inf,inf,0.44071058861902523,0.12586260899128032,inf,inf
1.23,-0.71,0.4779398479350449,0.1208430424410394,inf,inf,0.4430986098943328,0.12367800314860386,inf,inf
1.23,-0.7,0.4801378308677968,0.11921657801501089,inf,inf,0.4454599466213125,0.12156827176677608,inf,inf
1.23,-0.69,0.4822925328241258,0.11763300475900561,inf,inf,0.44779367438092077,0.11953361001103273,inf,inf
1.23,-0.68,0.484403436894923,0.11609246323250746,inf,inf,0.4500988669279393,0.11757413766709529,inf,inf
1.23,-0.67,0.48647003233073355,0.11459506407338736,inf,inf,0.45237459661487955,0.11568989391848722,inf,inf
1.23,-0.66,0.48849181468097985,0.11314088635409512,inf,inf,0.4546199348211468,0.11388083221813278,inf,inf
1.23,-0.65,0.490468285931417,0.11172997597635857,inf,inf,0.4568339523872469,0.11214681533886503,inf,inf
1.23,-0.64,0.49239895464139327,0.1103623441210716,inf,inf,0.45901572005379787,0.11048761069397076,inf,inf
1.23,-0.63,0.4942833360787899,0.10903796577111168,inf,inf,0.4611643089050541,0.10890288602347863,inf,inf
1.23,-0.62,0.4961209523539924,0.1077567783281325,inf,inf,0.4632787908167688,0.10739220554438397,inf,inf
1.23,-0.61,0.497911332553366,0.10651868033959025,inf,inf,0.4653582389080584,0.10595502666293224,inf,inf
1.23,-0.6,0.499654012869927,0.10532353035921309,inf,inf,0.4674017279970557,0.10459069734404584,inf,inf
1.23,-0.59,0.5013485367334347,0.10417114595785949,inf,inf,0.46940833506005886,0.10329845422709427,inf,inf
1.23,-0.58,0.502994454939276,0.1030613029046741,inf,inf,0.47137713969390926,0.10207742156785941,inf,inf
1.23,-0.57,0.5045913257751111,0.10199373453848058,inf,inf,0.473307224581343,0.10092661107437738,inf,inf
1.23,-0.56,0.5061387151461506,0.10096813134294061,inf,inf,0.4751976759589813,0.0998449226891619,inf,inf
1.23,-0.55,0.5076361966994903,0.099984140745146,inf,inf,0.47704758408773795,0.09883114635256894,inf,inf
1.23,-0.54,0.5090833519456999,0.09904136714805015,inf,inf,0.47885604372529356,0.0978839647625574,inf,inf
1.23,-0.53,0.5104797703798897,0.09813937220958083,inf,inf,0.480622154600407,0.09700195712501554,inf,inf
1.23,-0.52,0.5118250496000928,0.09727767537628229,inf,inf,0.4823450218886949,0.09618360386741594,inf,inf
1.23,-0.51,0.5131187954241097,0.09645575467781373,inf,inf,0.48402375668964126,0.09542729226726478,inf,inf
1.23,-0.5,0.5143606220053139,0.09567304778421226,inf,inf,0.48565747650449476,0.09473132292663591,inf,inf
1.23,-0.49,0.5155501519455807,0.09492895332563293,inf,inf,0.4872453057147701,0.0940939170058663,inf,inf
1.23,-0.48,0.5166870164067973,0.09422283247047294,inf,inf,0.48878637606103004,0.09351322411365257,inf,inf
1.23,-0.47,0.517770855220403,0.09355401075393247,inf,inf,0.4902798271216362,0.09298733073829628,inf,inf
1.23,-0.46,0.5188013169951746,0.09292178014741366,inf,inf,0.4917248067911766,0.09251426909580686,inf,inf
1.23,-0.45,0.5197780592224707,0.09232540135324406,inf,inf,0.4931204717582247,0.09209202626527811,inf,inf
1.23,-0.44,0.5207007483799516,0.09176410630977123,inf,inf,0.4944659879821294,0.0917185534805882,inf,inf
1.23,-0.43,0.5215690600330891,0.091237100886045,inf,inf,0.49576053116852314,0.09139177544977904,inf,inf
1.23,-0.42,0.5223826789346449,0.09074356774513972,inf,inf,0.49700328724320997,0.09110959957912729,inf,inf
1.23,-0.41,0.5231412991214527,0.0902826693524896,inf,inf,0.4981934528241321,0.09086992498760231,inf,inf
1.23,-0.4,0.523844624009675,0.08985355110473447,inf,inf,0.4993302356910929,0.09067065120860068,inf,inf
1.23,-0.39,0.5244923664878642,0.08945534455213766,inf,inf,0.5004128552528737,0.09050968648880965,inf,inf
1.23,-0.38,0.5250842490071084,0.08908717068956076,inf,inf,0.5014405430115065,0.09038495560835244,inf,inf
1.23,-0.37,0.5256200036696748,0.08874814328887709,inf,inf,0.5024125430232909,0.09029440716134517,inf,inf
1.23,-0.36,0.5260993723144447,0.0884373722466553,inf,inf,0.5033281123562965,0.09023602025106,inf,inf
